Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
2024-02-15,4489.33,5472.67,5562.14,5168.9,5679.590000000001,6786.094,8159.558,221.30000000000018,254.14279772078828,1182.2884249495457,1492.7153103605253
2024-02-14,4645.67,5651.0,5744.26,5353.36,5639.204285714286,6661.869333333334,8136.740222222222,182.1199999999999,208.01867719491267,1081.9859852140248,1513.8524826831024
2024-02-13,4656.33,5715.33,5794.18,5405.39,5623.952857142857,6542.962333333333,8112.998888888889,49.92000000000007,188.64175295294407,964.7480143350168,1533.741041441155
2024-02-12,4566.33,5611.0,5691.42,5282.49,5599.3828571428585,6423.147333333332,8084.630666666667,-102.76000000000022,161.50364471788183,825.5058230874506,1554.7480332085458
2024-02-09,4568.0,5613.67,5692.55,5279.56,5611.51,6331.641666666666,8055.4603333333325,1.1300000000001091,165.3696343549308,742.4657632375453,1574.82137983139
2024-02-08,4499.0,5609.67,5645.05,5239.46,5638.634285714286,6250.103,8027.155444444445,-47.5,150.3432020254149,673.6999651955675,1595.0934160049633
2024-02-07,4260.33,5274.67,5328.91,4948.95,5636.93,6163.954333333333,7978.445000000001,-316.1400000000003,154.2972427924426,616.4908841493296,1609.9067116271465
2024-02-06,4161.0,5143.67,5192.74,4830.03,5584.158571428571,6084.230333333334,7923.676111111112,-136.17000000000007,229.15179870041615,580.0271320615085,1619.979819951778
2024-02-05,4107.0,5090.33,5119.95,4768.98,5494.971428571429,5996.395333333334,7870.923222222222,-72.78999999999996,273.62991621465034,514.058510333663,1633.2119563786066
2024-02-02,3960.33,4937.33,4970.8,4608.18,5377.345714285714,5917.074666666666,7823.139222222222,-149.14999999999964,299.33794808196785,480.41427360960506,1654.5508531485032
2024-02-01,3894.67,4886.0,4922.35,4530.77,5267.478571428571,5851.080666666666,7778.714888888889,-48.44999999999982,305.91452032820825,476.3925670396248,1678.260206360884
2024-01-31,3807.33,4747.0,4798.2,4420.82,5139.714285714285,5790.467666666666,7729.847222222223,-124.15000000000055,284.8311873641253,491.0889218495592,1700.4051959730634
2024-01-30,3795.0,4734.67,4775.17,4403.9,5015.445714285714,5728.4873333333335,7681.820000000001,-23.029999999999745,206.64076677959287,498.1669300195337,1722.2416368686593
2024-01-29,3719.67,4682.0,4700.29,4349.65,4925.642857142857,5671.368,7636.458111111112,-74.88000000000011,182.94527084303118,514.8317510263499,1746.509796405128
2024-01-26,3671.67,4591.0,4625.26,4298.21,4844.574285714286,5620.6,7589.005222222222,-75.02999999999975,170.14602403600006,540.6272329242588,1769.7665171601532
2024-01-25,3641.0,4541.0,4582.54,4229.45,4767.801428571429,5565.800666666666,7541.230111111111,-42.720000000000255,144.4931940068711,560.0614761079901,1792.3537471455577
2024-01-24,3708.67,4698.67,4714.07,4325.63,4731.125714285714,5512.197,7497.753555555556,131.52999999999975,113.67540702336012,562.1244092826878,1813.0589023118848
2024-01-23,3643.67,4571.0,4592.85,4241.27,4684.054285714286,5456.722666666667,7453.290111111111,-121.21999999999935,86.19357958645709,568.1657682701896,1834.7972376409975
2024-01-22,3631.67,4521.33,4573.04,4197.59,4651.888571428572,5397.616,7408.099111111111,-19.8100000000004,78.13289350613785,564.6605295256347,1855.2083211082534
2024-01-19,3653.0,4528.0,4580.73,4206.94,4624.111428571428,5346.133333333333,7368.192777777779,7.6899999999996,59.29128419063843,566.440782846095,1877.0844626450414
2024-01-18,3584.33,4415.67,4482.27,4126.6,4592.965714285714,5297.810666666667,7331.053555555555,-98.45999999999913,69.06297340298225,576.4883568518796,1900.8650374721071
2024-01-17,3589.67,4386.67,4468.28,4114.84,4570.54,5249.685333333333,7294.081111111111,-13.990000000000691,81.24180327899656,583.6622772822759,1923.94456370674
2024-01-16,3582.0,4373.0,4454.0,4093.44,4552.177142857143,5186.921666666666,7263.495333333333,-14.279999999999745,91.9044735427293,563.6111187450284,1947.090348852858
2024-01-15,3492.0,4320.17,4383.7,4004.07,4504.981428571428,5119.657999999999,7234.003222222223,-70.30000000000018,78.80545231333679,533.2409876077252,1970.505557265212
2024-01-12,3475.33,4267.33,4348.24,3968.85,4470.037142857143,5063.7006666666675,7205.151222222222,-35.460000000000036,87.14075179750145,522.7244507843986,1993.66001381786
2024-01-11,3434.0,4224.67,4296.19,3924.57,4430.487142857143,5010.209000000001,7174.900777777777,-52.05000000000018,95.06566742959382,516.1611236703674,2017.0383416699822
2024-01-10,3378.0,4161.33,4231.35,3859.63,4380.575714285714,4955.807,7143.487888888888,-64.83999999999924,94.75364317673053,509.0941559628762,2040.7467841440684
