Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),Days,MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
1995-03-28,958.5,1331.0,1431.01,1431.0,125,974.0228571428571,1013.822,994.5606666666665,-5.330000000000041,14.88579828145522,28.7791682801386,30.054381527304294
1995-03-29,964.17,1351.0,1449.53,1450.0,126,968.7142857142857,1011.3386666666667,994.1328888888888,5.669999999999959,8.978253091298564,29.758722248864128,30.2112454784358
1995-03-30,954.17,1331.33,1425.18,1425.0,127,965.5,1008.7,993.6551111111112,-10.0,9.657256339146425,31.215395074468546,30.501296058093594
1995-03-31,955.83,1347.67,1450.97,1451.0,128,961.3571428571429,1006.2443333333334,993.2032222222222,1.6600000000000819,5.15255184119227,32.39801704056749,30.75885800351509
1995-04-03,949.5,1344.0,1437.37,1437.0,129,959.0714285714286,1003.35,992.7328888888889,-6.330000000000041,6.405074625042608,33.47813017478694,31.101813677540797
1995-04-04,952.17,1325.33,1423.28,1423.0,130,956.8814285714286,1000.2166666666667,992.295888888889,2.669999999999959,5.614951553875167,33.73020618370691,31.394261835043913
1995-04-05,963.33,1351.33,1447.22,1447.0,131,956.8100000000001,997.572,992.2532222222221,11.160000000000082,5.514100107903752,33.39553463852734,31.431380541730185
1995-04-06,958.5,1358.67,1448.03,1448.0,132,956.8100000000001,994.6886666666667,992.5624444444444,-4.830000000000041,5.514100107903752,32.889778281439845,30.95195640332792
1995-04-07,961.0,1349.33,1444.72,1445.0,133,956.3571428571429,991.6663333333333,992.881,2.5,4.905485753335222,31.614273782289853,30.468847308228437
1995-04-10,946.5,1321.33,1413.56,1414.0,134,955.2614285714286,988.1886666666667,992.944,-14.5,6.169255569815428,30.60383126041671,30.365700224305122
1995-04-11,945.83,1319.67,1413.02,1413.0,135,953.8328571428572,985.0606666666666,992.9662222222221,-0.6699999999999591,7.102829751315661,29.94917394903988,30.330064684571504
1995-04-12,958.0,1337.67,1428.54,1429.0,136,955.0471428571428,982.2663333333333,993.1384444444443,12.169999999999959,6.9638488263441465,28.337200538651967,30.08328681955597
1995-04-13,938.83,1330.0,1418.25,1418.0,137,953.1414285714285,979.1496666666667,993.0384444444444,-19.16999999999996,9.311880276598197,27.777345704148438,30.250085148403258
1995-04-17,972.75,1346.0,1454.82,1455.0,138,954.4871428571429,977.0580000000001,993.2431111111111,33.91999999999996,11.46210526660967,25.670451737625275,30.04687879037854
1995-04-18,984.83,1393.33,1489.58,1490.0,139,958.2485714285714,975.9633333333333,993.6320000000001,12.080000000000041,16.29839811000961,24.554872588063787,29.7032135060211
1995-04-19,980.5,1388.33,1483.86,1484.0,140,961.0342857142857,974.519,993.969,-4.330000000000041,18.380519449625968,22.857951057600882,29.37481192098535
1995-04-20,996.17,1411.0,1507.04,1507.0,141,968.13,973.4413333333334,994.6727777777778,15.669999999999959,21.2049121667594,20.90377654929703,28.64320850255526
1995-04-21,1011.5,1431.0,1526.98,1527.0,142,977.5114285714286,973.8303333333333,995.5802222222222,15.330000000000041,24.03288818027689,21.511527861114203,27.848512879739
1995-04-24,1004.83,1421.33,1514.76,1515.0,143,984.2014285714286,973.6803333333334,996.2986666666667,-6.669999999999959,24.21361216930861,21.269783567033727,27.23015546671701
1995-04-25,997.83,1411.0,1506.93,1507.0,144,992.63,973.2189999999999,996.5837777777779,-7.0,13.83040009062064,20.55548745427144,27.108744415230532
1995-04-26,993.33,1408.33,1501.71,1502.0,145,995.5699999999999,973.2189999999999,996.8671111111112,-4.5,10.742828615715593,20.55548745427144,26.937560020817802
1995-04-27,1006.33,1425.33,1522.63,1523.0,146,998.6414285714285,973.48,997.2096666666667,13.0,10.2212563294514,20.933786912135865,26.858700657538176
1995-04-28,1012.83,1440.0,1532.44,1532.0,147,1003.26,974.2019999999999,997.4966666666668,6.5,7.634681831395034,21.915454694865716,26.88636858577861
1995-05-01,998.83,1415.67,1512.09,1512.0,148,1003.6400000000001,974.1906666666667,997.5911111111111,-14.0,7.280982076613455,21.90218142707071,26.8758382129831
1995-05-02,996.5,1416.0,1507.84,1508.0,149,1001.4971428571429,974.0296666666667,997.6188888888888,-2.330000000000041,6.771673142054677,21.71273763824082,26.873376718969578
1995-05-03,997.17,1418.33,1512.04,1512.0,150,1000.4028571428571,974.713,997.6985555555557,0.6699999999999591,6.762240048693819,22.117508768798643,26.861161618740926
1995-05-04,984.0,1395.67,1490.52,1491.0,151,998.4271428571428,974.6853333333332,997.6560000000001,-13.169999999999959,9.21481906909515,22.104932626830948,26.87999911383102
1995-05-05,960.67,1344.33,1437.43,1437.0,152,993.7614285714286,974.5243333333333,997.3782222222223,-23.33000000000004,17.110991037508192,22.19156016695608,27.133236162853287
1995-05-08,963.58,1331.33,1430.56,1431.0,153,987.6542857142857,974.3936666666666,997.1550000000001,2.910000000000082,19.35882818177282,22.245820914519495,27.329210789182262
1995-05-09,966.5,1339.33,1434.17,1434.0,154,981.0357142857143,974.4826666666667,997.069777777778,2.919999999999959,17.105721125929474,22.207408818606805,27.41352040642835
1995-05-10,961.33,1328.33,1421.48,1421.0,155,975.6785714285714,974.577,996.9623333333334,-5.169999999999959,16.464203016008913,22.14309359908603,27.53552504380855
1995-05-11,958.5,1301.67,1397.31,1397.0,156,970.25,974.388,996.6808888888888,-2.830000000000041,14.615662831359293,22.2588795764736,27.799446548708257
1995-05-12,962.5,1313.0,1409.8,1410.0,157,965.2971428571428,974.6656666666667,996.3178888888889,4.0,8.615549342680918,22.048940811737282,28.031726106803465
1995-05-15,971.83,1327.0,1419.78,1420.0,158,963.5585714285714,975.199,995.8623333333334,9.330000000000041,4.417561275073302,21.769357830326133,28.09345191609253
1995-05-16,973.17,1338.67,1429.94,1430.0,159,965.3442857142858,975.9879999999999,995.6216666666667,1.3399999999999181,5.45898909183207,21.228027894173703,28.194988209119096
1995-05-17,976.67,1343.67,1434.49,1434.0,160,967.2142857142857,976.8046666666667,995.2754444444446,3.5,6.825005145644571,20.745922363505535,28.234678460676385
1995-05-18,979.83,1343.0,1434.9,1435.0,161,969.1185714285714,977.3546666666666,994.9346666666667,3.160000000000082,8.294034861615565,20.59453940570872,28.233946823964093
1995-05-19,983.17,1355.33,1448.44,1448.0,162,972.2385714285714,978.1769999999999,994.6384444444445,3.339999999999918,8.957176691664317,20.30623246435706,28.2157620270399
